"customerid","tenure","monthlycharges","ltv"
"8707-RMEZH",69,"87.3","6023.7"
"3346-BRMIS",18,"48.35","870.30"
"3209-ZPKFI",47,"54.25","2549.75"
"6479-VDGRK",72,"85.3","6141.6"
"9373-WSLOY",33,"50","1650"
"2933-FILNV",2,"24.4","48.8"
"3569-JFODW",72,"90.95","6548.40"
"9819-FBNSV",37,"72.25","2673.25"
"9544-PYPSJ",62,"96.1","5958.2"
"1591-XWLGB",71,"19.85","1409.35"
"0396-UKGAI",23,"55.3","1271.9"
"3243-ZHOHY",16,"20.1","321.6"
"5186-EJEGL",9,"69.5","625.5"
"7527-QNRUS",17,"25.15","427.55"
"9986-BONCE",4,"20.95","83.80"
"2722-JMONI",1,"49.55","49.55"
"2203-GHNWN",24,"79.65","1911.60"
"3878-AVSOQ",1,"71.25","71.25"
"3258-SYSWS",72,"113.8","8193.6"
"5296-PSYVW",72,"24.55","1767.60"
"6319-QSUSR",11,"19.7","216.7"
"4083-EUGRJ",9,"20.25","182.25"
"7579-OOPEC",2,"50.15","100.30"
"0512-FLFDW",60,"100.5","6030.0"
"1771-OADNZ",29,"95.9","2781.1"
"0487-CRLZF",49,"74.45","3648.05"
"2107-FBPTK",30,"104.1","3123.0"
"9451-WLYRI",53,"19.05","1009.65"
"8219-VYBVI",39,"25","975"
"1991-VOPLL",9,"19.05","171.45"
"9738-QLWTP",39,"81.9","3194.1"
"1016-DJTSV",8,"69.7","557.6"
"9419-IPPBE",51,"90.15","4597.65"
"0174-QRVVY",71,"25.35","1799.85"
"5699-BNCAS",71,"24.65","1750.15"
"2900-PHPLN",70,"19.55","1368.50"
"0612-RTZZA",1,"25.25","25.25"
"8106-GWQOK",38,"60","2280"
"8751-EDEKA",28,"89.9","2517.2"
"6878-GGDWG",32,"19.4","620.8"
"4039-PIMHX",49,"49.8","2440.2"
"8450-LUGUK",37,"24.1","891.7"
"3604-WLABM",10,"54.25","542.50"
"0795-GMVQO",67,"109.9","7363.3"
"2259-OUUSZ",7,"35.5","248.5"
"1142-IHLOO",51,"87.55","4465.05"
"6410-LEFEN",9,"45.15","406.35"
"4633-MKHYU",9,"88.4","795.6"
"6257-RJOHI",4,"50.8","203.2"
"1545-JFUML",71,"99","7029"
"3194-ORPIK",50,"84.4","4220.0"
"7826-VVKWT",24,"96.55","2317.20"
"1353-GHZOS",22,"59.75","1314.50"
"2587-EKXTS",44,"111.5","4906.0"
"5442-BXVND",33,"24.25","800.25"
"8816-VXNZD",1,"75.1","75.1"
"9378-FXTIZ",54,"70.15","3788.10"
"1723-HKXJQ",42,"101.75","4273.50"
"7825-GKXMW",1,"45.8","45.8"
"9753-OYLBX",1,"20.5","20.5"
"2364-UFROM",30,"70.4","2112.0"
"6656-JWRQX",1,"30.55","30.55"
"6473-ULUHT",16,"84.9","1358.4"
"1240-KNSEZ",1,"20.1","20.1"
"0836-SEYLU",9,"40.65","365.85"
"4433-JCGCG",46,"101","4646"
"3716-BDVDB",1,"69.1","69.1"
"7688-AWMDX",71,"54.5","3869.5"
"2842-BCQGE",43,"75.35","3240.05"
"7244-QWYHG",50,"44.45","2222.50"
"5899-MQZZL",13,"75","975"
"6849-OYAMU",19,"100","1900"
"5312-UXESG",41,"98.05","4020.05"
"9488-HGMJH",1,"71.15","71.15"
"6038-GCYEC",24,"54.15","1299.60"
"2150-WLKUW",40,"63.9","2556.0"
"7159-FVYPK",3,"69.15","207.45"
"7032-LMBHI",37,"64.65","2392.05"
"1150-WFARN",67,"108.75","7286.25"
"6088-BXMRG",32,"98.85","3163.20"
"3144-AUDBS",6,"49.15","294.90"
"4821-SJHJV",32,"89.6","2867.2"
"7346-MEDWM",59,"83.25","4911.75"
"1137-DGOWI",30,"70.25","2107.50"
"5616-PRTNT",20,"19.4","388.0"
"3812-LRZIR",27,"24.5","661.5"
"4818-QIUFN",20,"79.15","1583.00"
"9483-GCPWE",9,"20.1","180.9"
"4227-OJHAL",68,"73","4964"
"9220-CXRSC",69,"61.4","4236.6"
"4993-JCRGJ",26,"84.3","2191.8"
"9537-JALFH",69,"19.9","1373.1"
"6698-OXETB",11,"20.4","224.4"
"2103-ZRXFN",1,"50.75","50.75"
"3724-BSCVH",10,"20.45","204.50"
"4877-TSOFF",55,"75.75","4166.25"
"9209-NWPGU",44,"65.4","2877.6"
"6961-VCPMC",46,"80.4","3698.4"
"7306-YDSOI",69,"59.75","4122.75"
"5288-AHOUP",11,"78.5","863.5"
"6688-UZPWD",11,"102","1122"
"0655-YDGFJ",29,"48.95","1419.55"
"8468-EHYJA",57,"99.65","5680.05"
"6823-SIDFQ",28,"18.25","511.00"
"1097-FSPVW",42,"54.55","2291.10"
"2839-RFSQE",2,"20.65","41.30"
"8328-SKJNO",23,"40.65","934.95"
"7010-ZMVBF",18,"20.45","368.10"
"5201-CBWYG",62,"24.8","1537.6"
"0968-GSIKN",1,"70.8","70.8"
"1965-DDBWU",16,"89.05","1424.80"
"9057-SIHCH",3,"96.6","289.8"
"6352-GIGGQ",67,"88.8","5949.6"
"3635-QQRQD",62,"20.05","1243.10"
"6771-XWBDM",57,"104.5","5956.5"
"2897-DOVND",2,"69.8","139.6"
"3082-YVEKW",23,"77.15","1774.45"
"0191-EQUUH",25,"35.05","876.25"
"7134-HBPBS",72,"108.1","7783.2"
"3489-HHPFY",2,"84.05","168.10"
"2926-JEJJC",8,"20.2","161.6"
"8601-QACRS",5,"50.6","253.0"
"4950-BDEUX",35,"49.2","1722.0"
"5789-LDFXO",24,"24.6","590.4"
"0508-OOLTO",2,"71.65","143.30"
"2984-TBYKU",72,"104.9","7552.8"
"9822-WMWVG",41,"106.5","4366.5"
"2391-SOORI",4,"49.35","197.40"
"9040-KZVWO",26,"75.5","1963.0"
"2645-QTLMB",7,"94.25","659.75"
"4806-HIPDW",1,"68.95","68.95"
"1548-ARAGG",4,"58.5","234.0"
"6339-RZCBJ",48,"78.9","3787.2"
"4424-TKOPW",2,"93.85","187.70"
"4415-WNGVR",12,"79.2","950.4"
"2522-AHJXR",60,"109.45","6567.00"
"0412-UCCNP",55,"59.2","3256.0"
"1816-FLZDK",1,"29.15","29.15"
"7096-UCLNH",1,"20.05","20.05"
"8443-ZRDBZ",4,"76.05","304.20"
"9136-ALYBR",1,"24.45","24.45"
"4615-PIVVU",42,"66.5","2793.0"
"8885-QSQBX",1,"49.55","49.55"
"7479-NITWS",7,"89.35","625.45"
"8617-ENBDS",3,"73.6","220.8"
"9385-NXKDA",72,"82.65","5950.80"
"0430-IHCDJ",15,"49","735"
"2959-MJHIC",4,"80.35","321.40"
"6674-KVJHG",11,"25.2","277.2"
"1814-DKOLC",5,"25.45","127.25"
"4201-JMNGR",1,"55.8","55.8"
"9351-HXDMR",72,"110.9","7984.8"
"3537-HPKQT",55,"77.75","4276.25"
"2129-ALKBS",40,"26.2","1048.0"
"5821-MMEIL",57,"19.9","1134.3"
"5960-WPXQM",1,"79.05","79.05"
"0684-AOSIH",1,"95","95"
"8260-NGFNY",1,"25.2","25.2"
"1309-XGFSN",52,"80.85","4204.20"
"1866-RZZQS",41,"98.4","4034.4"
"6968-URWQU",43,"56.35","2423.05"
"4742-TXUEX",47,"19.3","907.1"
"9631-XEYKE",3,"50.4","151.2"
"8631-NBHFZ",66,"79.4","5240.4"
"1335-MXCSE",55,"55.25","3038.75"
"8873-TMKGR",29,"19.1","553.9"
"8800-JOOCF",12,"84.05","1008.60"
"1469-LBJQJ",66,"105.2","6943.2"
"4958-XCBDQ",35,"101.4","3549.0"
"8337-UPOAQ",10,"89.8","898.0"
"0064-YIJGF",27,"75.75","2045.25"
"2386-OWURY",58,"95.3","5527.4"
"1725-IQNIY",54,"109.75","5926.50"
"0310-VQXAM",9,"19.85","178.65"
"6598-RFFVI",2,"19.3","38.6"
"3453-RTHJQ",6,"69.1","414.6"
"6712-OAWRH",26,"91.25","2372.50"
"6278-FEPBZ",9,"20.25","182.25"
"4280-DLSHD",8,"54.75","438.00"
"1508-DFXCU",12,"81.45","977.40"
"8614-VGMMV",15,"49.1","736.5"
"7868-BGSZA",43,"80.2","3448.6"
"2800-QQUSO",42,"100.3","4212.6"
"2930-UOTMB",31,"65.25","2022.75"
"7973-DZRKH",66,"90.95","6002.70"
"5914-DVBWJ",18,"85.45","1538.10"
"7698-YFGEZ",1,"20","20"
"2533-QVMSK",61,"94.1","5740.1"
"9773-PEQBZ",10,"79.85","798.50"
"8644-XLFBW",1,"71.65","71.65"
"0650-BWOZN",18,"73.55","1323.90"
"8625-AZYZY",24,"104.65","2511.60"
"7785-RDVIG",3,"19.3","57.9"
"9602-WCXPI",50,"20.15","1007.50"
"2903-YYTBW",1,"44.55","44.55"
"3620-MWJNE",2,"54.45","108.90"
"8573-JGCZW",17,"19.65","334.05"
"6837-HAEVO",69,"105","7245"
"6701-YVNQG",72,"88.7","6386.4"
"9306-CPCBC",3,"74.25","222.75"
"4304-XUMGI",50,"75.15","3757.50"
"9504-YAZWB",53,"20.25","1073.25"
"8819-ZBYNA",58,"109.1","6327.8"
"6174-NRBTZ",46,"30.75","1414.50"
"9481-IEBZY",72,"112.9","8128.8"
"1833-VGRUM",1,"74.2","74.2"
"6137-NICCO",6,"94.05","564.30"
"9065-ZCPQX",72,"78.85","5677.20"
"6402-EJMWF",4,"55.3","221.2"
"3620-EHIMZ",52,"19.35","1006.20"
"6870-ECSHE",2,"20.45","40.90"
"8747-UDCOI",65,"19.35","1257.75"
"8374-XGEJJ",43,"101","4343"
"2656-TABEH",4,"100.2","400.8"
"6946-LMSQS",25,"89.05","2226.25"
"4626-OZDTJ",51,"78.65","4011.15"
"9169-BSVIN",12,"74.75","897.00"
"2325-ZUSFD",57,"70.1","3995.7"
"8194-PEEBY",24,"19.9","477.6"
"6872-HXFNF",64,"58.35","3734.40"
"3932-CMDTD",4,"105.65","422.60"
"7714-YXSMB",26,"100.5","2613.0"
"8387-UGUSU",15,"20.05","300.75"
"1080-BWSYE",64,"25.65","1641.60"
"4039-HEUNW",36,"96.5","3474.0"
"1194-HVAIF",27,"95","2565"
"0812-WUPTB",1,"70.85","70.85"
"3594-UVONA",35,"85.95","3008.25"
"0004-TLHLJ",4,"73.9","295.6"
"1767-TGTKO",8,"45.45","363.60"
"8439-LTUGF",10,"20","200"
"8805-JNRAZ",2,"49.2","98.4"
"5089-IFSDP",58,"109.45","6348.10"
"6418-HNFED",51,"83.25","4245.75"
"0206-OYVOC",46,"19.25","885.50"
"7291-CDTMJ",1,"19.65","19.65"
"7128-GGCNO",46,"72.8","3348.8"
"0237-YFUTL",50,"109.65","5482.50"
"7691-KGKGP",53,"65","3445"
"6710-HSJRD",61,"114.1","6960.1"
"3675-EQOZA",5,"20.65","103.25"
"0840-DCNZE",47,"86.95","4086.65"
"1732-FEKLD",54,"94.75","5116.50"
"9862-KJTYK",19,"25.35","481.65"
"0479-HMSWA",26,"105.45","2741.70"
"5854-KSRBJ",70,"25.4","1778.0"
"0365-BZUWY",17,"102.55","1743.35"
"4817-VYYWS",30,"100.2","3006.0"
"5701-SVCWR",1,"24","24"
"3129-AAQOU",19,"25.6","486.4"
"4922-CVPDX",26,"73.5","1911.0"
"1396-QWFBJ",21,"74.05","1555.05"
"1357-BIJKI",50,"98.25","4912.50"
"1099-BTKWT",68,"54.4","3699.2"
"5299-SJCZT",3,"101.55","304.65"
"2018-PZKMU",9,"103.1","927.9"
"7340-KEFQE",51,"34.2","1744.2"
"4570-QHXHL",9,"43.75","393.75"
"2403-BCASL",41,"111.95","4589.95"
"7392-YYPYJ",22,"100.65","2214.30"
"2898-LSJGD",21,"55.95","1174.95"
"2223-GDSHL",71,"116.05","8239.55"
"7359-PTSXY",1,"45.75","45.75"
"9470-RTWDV",26,"82","2132"
"2176-OSJUV",71,"65.15","4625.65"
"9348-YVOMK",4,"44.8","179.2"
"8104-OSKWT",12,"79.8","957.6"
"4521-YEEHE",18,"88.85","1599.30"
"4090-KPJIP",3,"74.95","224.85"
"3786-WOVKF",72,"106.85","7693.20"
"4503-BDXBD",11,"74.95","824.45"
"6086-ESGRL",1,"80.15","80.15"
"2592-HODOV",13,"19.3","250.9"
"3886-CERTZ",72,"109.25","7866.00"
"7995-ZHHNZ",42,"56.1","2356.2"
"3824-RHKVR",17,"19.7","334.9"
"5816-SCGFC",7,"51.3","359.1"
"5989-AXPUC",68,"118.6","8064.8"
"4979-HPRFL",56,"24.15","1352.40"
"8590-OHDIW",38,"20.3","771.4"
"8015-IHCGW",72,"115.5","8316.0"
"2332-TODQS",48,"25.05","1202.40"
"9278-VZKCD",52,"109.1","5673.2"
"8008-OTEZX",35,"19.65","687.75"
"2773-OVBPK",67,"111.3","7457.1"
"5999-LCXAO",1,"29.9","29.9"
"5206-XZZQI",53,"80.6","4271.8"
"4803-LBYPN",34,"20.8","707.2"
"5759-RCVCB",3,"35.2","105.6"
"6372-RFVNS",1,"78.8","78.8"
"2139-FQHLM",19,"89.95","1709.05"
"8261-GWDBQ",60,"116.05","6963.00"
"1093-YSWCA",11,"19.55","215.05"
"8938-UMKPI",47,"106.4","5000.8"
"0991-BRRFB",18,"49.4","889.2"
"3882-IYOIJ",60,"115.25","6915.00"
"8749-TZYEC",72,"24.8","1785.6"
"1755-FZQEC",39,"19.9","776.1"
"3115-JPJDD",59,"81.25","4793.75"
"5600-KTXFM",2,"69.95","139.90"
"3871-IKPYH",1,"69.1","69.1"
"6319-IEJWJ",20,"90.2","1804.0"
"9025-AOMKI",6,"93.55","561.30"
"6339-TBELP",71,"86.4","6134.4"
"7964-YESJC",24,"66.3","1591.2"
"6173-GOLSU",67,"94.65","6341.55"
"5275-SQEIZ",1,"80.85","80.85"
"7716-YTYHG",48,"82.05","3938.40"
"9938-ZREHM",37,"72.1","2667.7"
"7950-XWOVN",11,"34.7","381.7"
"4390-KYULV",3,"20.55","61.65"
"4647-MUZON",18,"95.95","1727.10"
"9702-AIUJO",50,"44.8","2240.0"
"8849-PRIQJ",67,"109.4","7329.8"
"8851-RAGOV",25,"71.05","1776.25"
"1304-NECVQ",2,"78.55","157.10"
"5396-IZEPB",9,"19.7","177.3"
"1729-VLAZJ",10,"40.25","402.50"
"8285-ABVLB",70,"19.85","1389.50"
"0701-TJSEF",9,"68.25","614.25"
"5712-VBOXD",4,"20.15","80.60"
"6629-LADHQ",2,"50.95","101.90"
"8945-GRKHX",1,"78.65","78.65"
"1559-DTODC",19,"25.15","477.85"
"4797-MIWUM",7,"20.25","141.75"
"6959-UWKHF",1,"42.9","42.9"
"8720-RQSBJ",1,"44","44"
"4537-CIBHB",9,"20.25","182.25"
"3815-SLMEF",3,"34.25","102.75"
"5154-VEKBL",9,"58.5","526.5"
"4324-AHJKS",5,"55.8","279.0"
"4355-CVPVS",56,"88.9","4978.4"
"4495-LHSSK",18,"57.65","1037.70"
"5655-JSMZM",49,"96.2","4713.8"
"5915-ANOEI",70,"79.15","5540.50"
"9861-PDSZP",72,"108.05","7779.60"
"4505-EXZHB",6,"74.4","446.4"
"7225-CBZPL",17,"94.8","1611.6"
"6704-UTUKK",29,"45.9","1331.1"
"4587-VVTOX",6,"105.3","631.8"
"2019-HDCZY",63,"102.6","6463.8"
"4652-NNHNY",16,"73.85","1181.60"
"8788-DOXSU",59,"61.35","3619.65"
"7404-JLKQG",3,"57.55","172.65"
"7421-ZLUPA",8,"29.25","234.00"
"8972-HJWNV",7,"84.55","591.85"
"3274-NSDWE",68,"19.6","1332.8"
"2632-IVXVF",68,"111.75","7599.00"
"3692-JHONH",52,"106.5","5538.0"
"8915-NNTRC",72,"107.7","7754.4"
"5914-GXMDA",32,"19.3","617.6"
"7463-IFMQU",72,"20.05","1443.60"
"2920-RNCEZ",1,"69.95","69.95"
"2541-YGPKE",42,"63.7","2675.4"
"8515-OCTJS",25,"24.75","618.75"
"5382-TEMLV",45,"50.9","2290.5"
"3441-CGZJH",43,"60.4","2597.2"
"9592-ERDKV",37,"79.25","2932.25"
"2860-RANUS",20,"85.8","1716.0"
"5261-QSHQM",4,"24.45","97.80"
"4778-IZARL",63,"110.1","6936.3"
"0432-CAJZV",3,"90.7","272.1"
"7008-LZVOZ",66,"25.3","1669.8"
"8868-WOZGU",28,"105.7","2959.6"
"1200-TUZHR",8,"85.2","681.6"
"9365-CSLBQ",71,"24.35","1728.85"
"1334-FJSVR",1,"24.25","24.25"
"5884-FBCTL",72,"25.1","1807.2"
"7130-CTCUS",16,"54.55","872.80"
"6242-FEGFD",66,"96.6","6375.6"
"7625-XCQRH",11,"76.5","841.5"
"6194-HBGQN",51,"81.15","4138.65"
"7634-WSWDB",8,"38.5","308.0"
"6986-IXNDM",14,"92.9","1300.6"
"1731-TVIUK",4,"93.5","374.0"
"2987-BJXIK",70,"84.7","5929.0"
"9769-TSBZE",70,"66","4620"
"0406-BPDVR",54,"101.5","5481.0"
"0618-XWMSS",28,"74.9","2097.2"
"1395-WSWXR",24,"20.75","498.00"
"6023-GSSXW",69,"61.45","4240.05"
"6752-APNJL",42,"54.5","2289.0"
"5276-KQWHG",2,"69.6","139.2"
"0420-HLGXF",39,"99.75","3890.25"
"7446-KQISO",45,"109.75","4938.75"
"9823-EALYC",72,"80.85","5821.20"
"0582-AVCLN",38,"20.3","771.4"
"5803-NQJZO",72,"67.8","4881.6"
"2565-JSLRY",1,"24.05","24.05"
"2607-DHDAK",72,"19.8","1425.6"
"1073-XXCZD",55,"25.7","1413.5"
"0743-HRVFF",51,"56.15","2863.65"
"4006-HKYHO",63,"86.7","5462.1"
"3727-JEZTU",1,"20.4","20.4"
"8143-ETQTI",23,"19.65","451.95"
"6689-KXGBO",1,"50.55","50.55"
"9667-TKTVZ",2,"54.35","108.70"
"3657-COGMW",52,"108.1","5621.2"
"8570-KLJYJ",36,"54.45","1960.20"
"7754-IXRMC",1,"45.35","45.35"
"9473-CBZOP",28,"59","1652"
"2969-WGHQO",7,"69.45","486.15"
"6615-NGGZJ",14,"100.55","1407.70"
"4334-HOWRP",72,"64.95","4676.40"
"4255-DDUOU",1,"20.5","20.5"
"5863-OOKCL",10,"18.85","188.50"
"1686-STUHN",42,"19.8","831.6"
"1329-VHWNP",7,"25.05","175.35"
"2984-MIIZL",4,"74.8","299.2"
"0266-GMEAO",72,"114.3","8229.6"
"5590-YRFJT",20,"24.45","489.00"
"5574-NXZIU",63,"109.2","6879.6"
"0019-GFNTW",56,"45.05","2522.80"
"4256-ZWTZI",5,"51","255"
"8309-PPCED",72,"110.45","7952.40"
"4098-NAUKP",68,"84.65","5756.20"
"5196-WPYOW",67,"60.05","4023.35"
"4608-LCIMN",8,"44.65","357.20"
"1485-YDHMM",52,"93.25","4849.00"
"4054-CUMIA",18,"20.25","364.50"
"0603-TPMIB",59,"25.45","1501.55"
"2525-GVKQU",60,"20.6","1236.0"
"8161-QYMTT",7,"94.1","658.7"
"9581-GVBXT",59,"34.8","2053.2"
"5862-BRIXZ",46,"60.75","2794.50"
"5404-GGUKR",5,"51.35","256.75"
"3308-JSGML",59,"64.05","3778.95"
"2126-GSEGL",70,"84.8","5936.0"
"3677-TNKIO",14,"71","994"
"0440-QEXBZ",44,"50.15","2206.60"
"2434-EEVDB",64,"94.6","6054.4"
"6762-QVYJO",58,"59.75","3465.50"
"6199-IWKGC",46,"100.25","4611.50"
"2675-DHUTR",58,"98.9","5736.2"
"8152-VETUR",72,"97.7","7034.4"
"9667-EQRXU",30,"40.3","1209.0"
"7446-YPODE",11,"60.25","662.75"
"9522-BNTHX",34,"56.25","1912.50"
"4676-WLUHT",54,"46.2","2494.8"
"3329-WDIOK",3,"50.6","151.8"
"7980-MHFLQ",72,"24.9","1792.8"
"2873-ZLIWT",40,"84.85","3394.00"
"3415-TAILE",2,"65.7","131.4"
"0757-WCUUZ",54,"63.35","3420.90"
"1629-DQQVB",14,"50.1","701.4"
"1915-IOFGU",1,"70.5","70.5"
"3045-XETSH",10,"94.85","948.50"
"0374-AACSZ",1,"50.15","50.15"
"7239-HZZCX",1,"19.75","19.75"
"4872-VXRIL",56,"64.65","3620.40"
"9140-CZQZZ",68,"79.6","5412.8"
"3423-HHXAO",14,"19.5","273.0"
"9938-TKDGL",68,"99.55","6769.40"
"0531-ZZJWQ",55,"74","4070"
"6537-QLGEX",16,"38.9","622.4"
"2688-BHGOG",9,"79.55","715.95"
"7683-CBDKJ",14,"65.45","916.30"
"0946-CLJTI",58,"98.7","5724.6"
"3160-TYXLT",53,"46.3","2453.9"
"1325-USMEC",70,"99.35","6954.50"
"0916-QOFDP",14,"95.8","1341.2"
"0628-CNQRM",22,"67.5","1485.0"
"5606-AMZBO",10,"78.15","781.50"
"6199-IPCAO",29,"26.1","756.9"
"7665-TOALD",1,"69.6","69.6"
"0112-QWPNC",49,"84.35","4133.15"
"0324-BRPCJ",68,"100.2","6813.6"
"2777-PHDEI",1,"78.05","78.05"
"5640-CAXOA",30,"40.35","1210.50"
"2235-EZAIK",72,"79.2","5702.4"
"3847-BAERP",10,"20.9","209.0"
"1196-AMORA",7,"73.6","515.2"
"4282-YMKNA",9,"74.75","672.75"
"1453-RZFON",1,"49.9","49.9"
"8263-OKETD",20,"68.9","1378.0"
"0670-KDOMA",1,"20.25","20.25"
"2476-YGEFM",29,"76","2204"
"8687-BAFGU",1,"74","74"
"0641-EVBOJ",3,"82.3","246.9"
"0829-XXPLX",20,"89.4","1788.0"
"9974-JFBHQ",64,"99.15","6345.60"
"5356-RHIPP",1,"20.2","20.2"
"6624-JDRDS",6,"29.45","176.70"
"0608-JDVEC",50,"19.8","990.0"
"9780-FKVVF",6,"59.15","354.90"
"1919-RTPQD",7,"44.75","313.25"
"5214-NLTIT",72,"90.8","6537.6"
"3345-PBBFH",8,"49.55","396.40"
"5055-BRMNE",67,"106.7","7148.9"
"9189-JWSHV",24,"93.55","2245.20"
"2190-PHBHR",72,"94.45","6800.40"
"2650-GYRYL",33,"19.45","641.85"
"0746-JTRFU",2,"25.05","50.10"
"5208-FVQKB",70,"67.95","4756.50"
"7184-LRUUR",22,"65.25","1435.50"
"6627-CFOSN",59,"99.45","5867.55"
"3982-JGSFD",36,"20.35","732.60"
"1574-DYCWE",51,"19.95","1017.45"
"7247-XOZPB",53,"77.4","4102.2"
"2466-FCCPT",20,"19.7","394.0"
"6211-WWLTF",63,"99.7","6281.1"
"4826-TZEVA",40,"74.8","2992.0"
"6016-NXBNJ",35,"19.15","670.25"
"9138-EFSMO",26,"78.95","2052.70"
"0576-WNXXC",27,"95.55","2579.85"
"4632-XJMEX",53,"62.85","3331.05"
"8910-LEDAG",34,"71.55","2432.70"
"3452-GWUIN",19,"94.95","1804.05"
"2716-GFZOR",43,"86.1","3702.3"
"3724-UCSHY",6,"19.55","117.30"
"8626-XHBIE",56,"24.8","1388.8"
"4628-CTTLA",57,"39.3","2240.1"
"3192-LNKRK",34,"84.05","2857.70"
"4439-YRNVD",10,"36.25","362.50"
"2876-VBBBL",1,"20.25","20.25"
"6834-NXDCA",13,"23.9","310.7"
"2208-UGTGR",56,"98.6","5521.6"
"3005-TYFRD",55,"103.65","5700.75"
"8670-MEFCP",36,"92.9","3344.4"
"3079-BCHLN",47,"19.9","935.3"
"7777-UNYHB",12,"20.1","241.2"
"5597-GLBUC",1,"85.45","85.45"
"7278-CKDNC",24,"80.5","1932.0"
"2748-MYRVK",63,"99.9","6293.7"
"8450-UYIBU",35,"39.85","1394.75"
"2969-VAPYH",67,"60.5","4053.5"
"4822-YCXMX",25,"84.8","2120.0"
"7181-OQCUT",21,"103.85","2180.85"
"8474-UMLNT",13,"67.8","881.4"
"9821-POOTN",35,"75.2","2632.0"
"3836-FZSDJ",71,"24.85","1764.35"
"9142-XMYJH",29,"19.35","561.15"
"6559-ILWKJ",71,"49.35","3503.85"
"0187-QSXOE",7,"89","623"
"7733-UDMTP",57,"55","3135"
"2649-HWLYB",65,"76.15","4949.75"
"5214-CHIWJ",27,"20.3","548.1"
"4229-CZMLL",6,"74.9","449.4"
"6904-JLBGY",72,"117.35","8449.20"
"2465-BLLEU",1,"19.75","19.75"
"1685-VAYJF",11,"45.2","497.2"
"8874-EJNSR",39,"25.2","982.8"
"6917-YACBP",59,"89.75","5295.25"
"5049-MUBWG",26,"75","1950"
"4223-WOZCM",2,"49.95","99.90"
"0769-MURVM",72,"65.7","4730.4"
"9253-VIFJQ",65,"67.05","4358.25"
"7030-FZTFM",72,"110.9","7984.8"
"9741-YLNTD",6,"87.95","527.70"
"5917-RYRMG",32,"19.8","633.6"
"5120-ZBLAI",50,"75.7","3785.0"
"1194-BHJYC",61,"62.15","3791.15"
"3663-MITLP",15,"101.25","1518.75"
"0906-QVPMS",72,"115.15","8290.80"
"9025-ZRPVR",9,"18.95","170.55"
"1905-OEILC",1,"19.5","19.5"
"7858-GTZSP",12,"86.55","1038.60"
"3285-UCQVC",37,"28.6","1058.2"
"6248-BSHKG",61,"20.4","1244.4"
"4685-TFLLS",18,"19.8","356.4"
"3470-BTGQO",21,"45.65","958.65"
"1209-VFFOC",68,"56.4","3835.2"
"8224-DWCKX",12,"73.3","879.6"
"5482-PLVPE",2,"24.35","48.70"
"4553-DVPZG",62,"101.35","6283.70"
"4902-OHLSK",29,"98.65","2860.85"
"6917-IAYHD",1,"33.6","33.6"
"0495-ZBNGW",5,"79.9","399.5"
"8620-RJPZN",1,"20.7","20.7"
"7572-KPVKK",62,"104.05","6451.10"
"2642-MAWLJ",36,"20.25","729.00"
"2357-COQEK",28,"103.3","2892.4"
"7103-ZGVNT",69,"73.7","5085.3"
"3737-GCSPV",11,"96.2","1058.2"
"2027-WKXMW",63,"108.75","6851.25"
"7137-NAXML",23,"20.15","463.45"
"2428-ZMCTB",10,"19.75","197.50"
"2961-VNFKL",71,"25.95","1842.45"
"1768-HNVGJ",45,"70.05","3152.25"
"6963-KQYQB",70,"24.05","1683.50"
"5934-RMPOV",22,"84.75","1864.50"
"1207-BLKSA",52,"23.05","1198.60"
"4088-YLDSU",55,"104.15","5728.25"
"8316-BBQAY",65,"59.95","3896.75"
"1166-PQLGG",72,"19.55","1407.60"
"3146-JTQHR",10,"19.6","196.0"
"4291-YZODP",7,"20.05","140.35"
"9955-QOPOY",69,"60.8","4195.2"
"4385-ZKVNW",44,"54.9","2415.6"
"5446-DKWYW",61,"65.2","3977.2"
"2034-CGRHZ",24,"102.95","2470.80"
"5797-APWZC",1,"90.6","90.6"
"3683-QKIUE",6,"50.8","304.8"
"4228-ZGYUW",4,"90.05","360.20"
"9031-ZVQPT",72,"108.2","7790.4"
"2990-IAJSV",72,"92","6624"
"8107-KNCIM",14,"75.1","1051.4"
"9027-YFHQJ",7,"25.05","175.35"
"5176-LDKUH",48,"75.15","3607.20"
"4644-OBGFZ",55,"19.5","1072.5"
"7926-IJOOU",1,"19.3","19.3"
"6480-YAGIY",45,"112.2","5049.0"
"4029-HPFVY",3,"70.3","210.9"
"7602-DBTOU",71,"19.6","1391.6"
"5345-BMKWB",8,"20.25","162.00"
"3519-ZKXGG",3,"75.85","227.55"
"5457-COLHT",69,"80.65","5564.85"
"6416-TVAIH",1,"68.5","68.5"
"5451-YHYPW",72,"115.75","8334.00"
"5108-ADXWO",11,"73.5","808.5"
"7998-WNZEM",71,"80.6","5722.6"
"3066-RRJIO",1,"69.95","69.95"
"4664-NJCMS",33,"59.55","1965.15"
"0307-BCOPK",16,"19.05","304.80"
"7629-WFGLW",56,"95.65","5356.40"
"2542-HYGIQ",1,"19.95","19.95"
"6715-OFDBP",5,"70.05","350.25"
"5016-LIPDW",57,"19.4","1105.8"
"6481-LXPWL",56,"36.1","2021.6"
"1567-DSCIC",8,"94","752"
"2150-UWTFY",22,"61.15","1345.30"
"6124-ACRHJ",1,"19.75","19.75"
"9362-MWODR",40,"64.1","2564.0"
"9975-GPKZU",46,"19.75","908.50"
